"Validated Using","Source","Category","Impact","Resource Type","Recommendation","Recommendation Id","Subscription Id","Subscription Name","Resource Group","Resource Name","Resource Id","Param1","Param2","Param3","Param4","Param5","Learn"
"Azure Resource Graph","APRL","Scalability","High","Microsoft.Web/serverFarms","Set minimum instance count to 2 for app service","855ca19a-6518-4f2e-9e5a-01796fbca9f8","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","asp-tpa-prod-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Web/serverFarms/asp-tpa-prod-ncus","Instance count is less than 2","","","","",
"Azure Resource Graph","AZQR","Security","Medium","Microsoft.AppConfiguration/configurationStores","AppConfiguration should have local authentication disabled","appcs-008","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","appcs-prod-3dv5vnwo5uxsi","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.AppConfiguration/configurationStores/appcs-prod-3dv5vnwo5uxsi","","","","","",
"Azure Resource Graph","APRL","OtherBestPractices","Low","Microsoft.AppConfiguration/configurationStores","Enable Purge protection for Azure App Configuration","bb4c8db4-f821-475b-b1ea-16e95358665e","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","appcs-prod-3dv5vnwo5uxsi","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.AppConfiguration/configurationStores/appcs-prod-3dv5vnwo5uxsi","Enable purge protection","","","","",
"Azure Resource Graph","AZQR","HighAvailability","Medium","Microsoft.Web/sites","App Service should avoid using Client Affinity","app-015","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","app-tpa-prod-backend-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Web/sites/app-tpa-prod-backend-ncus","Client Affinity is enabled","","","","",
"Azure Resource Graph","AZQR","HighAvailability","Medium","Microsoft.Web/sites","App Service should avoid using Client Affinity","app-015","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","app-tpa-prod-frontend-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Web/sites/app-tpa-prod-frontend-ncus","Client Affinity is enabled","","","","",
"Azure Resource Graph","AZQR","Security","Medium","Microsoft.Web/sites","App Service should have VNET Route all enabled for VNET integration","app-010","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","app-tpa-prod-backend-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Web/sites/app-tpa-prod-backend-ncus","VNET Route All is disabled","","","","",
"Azure Resource Graph","AZQR","Security","Medium","Microsoft.Web/sites","App Service should have VNET Route all enabled for VNET integration","app-010","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","app-tpa-prod-frontend-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Web/sites/app-tpa-prod-frontend-ncus","VNET Route All is disabled","","","","",
"Azure Resource Graph","APRL","OtherBestPractices","Medium","Microsoft.Web/sites","Store configuration as app settings for Web Sites","0b80b67c-afbe-4988-ad58-a85a146b681e","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","app-tpa-prod-backend-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Web/sites/app-tpa-prod-backend-ncus","AppSettings is not configured","","","","",
"Azure Resource Graph","APRL","OtherBestPractices","Medium","Microsoft.Web/sites","Store configuration as app settings for Web Sites","0b80b67c-afbe-4988-ad58-a85a146b681e","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","app-tpa-prod-frontend-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Web/sites/app-tpa-prod-frontend-ncus","AppSettings is not configured","","","","",
"Azure Resource Graph","APRL","OtherBestPractices","High","Microsoft.Web/sites","Enable Health check for App Services","fd049c28-ae6d-48f0-a641-cc3ba1a3fe1d","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","app-tpa-prod-backend-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Web/sites/app-tpa-prod-backend-ncus","Healthcheckpath = not set","","","","",
